Anther	Ear	Early prophase meiocytes	Embryo	Endosperm	Leaf	Pollen	Root	Seed	Shoot apical meristem	Stalk	Silk	Tassel	Vegetative apex	maxZ	modH	tissues
zma-MIR399j	-0.352656330989346	-0.322963326759531	-0.370776078669063	-0.371433632101375	-0.377165073483933	3.32492552323556	-0.377165073483933	-0.366448796771986	-0.377165073483933	0.728918879817349	-0.370955238481285	-0.213892441815399	-0.199129750485576	-0.354093586527547	3.32492552323556	1.32439001789626	Leaf
zma-MIR827	-0.374046106242072	-0.338990415623321	-0.375480100478618	0.318592093075346	3.376837105238	0.213287621374543	-0.403463231852132	-0.394935685889907	-0.332712551897648	-0.394089950795242	-0.398231891324871	-0.130123228128572	-0.380575315282027	-0.386068342173484	3.376837105238	1.5552003514199	Endosperm
zma-MIR_N195a	0.52039121204731	-0.401568597937711	-0.230645480850217	-0.401568597937711	3.29860707220517	0.427333175974851	-0.401568597937711	-0.401568597937711	-0.401568597937711	-0.401568597937711	-0.401568597937711	-0.401568597937711	-0.401568597937711	-0.401568597937711	3.29860707220517	1.38534947402221	Endosperm
zma-MIR_N196a	-0.338572950317388	-0.287050620807605	-0.370965199472978	-0.251497742656756	3.44389150903422	-0.25402895173263	0.0264226689796905	-0.336795455201343	0.0222078309669248	-0.370965199472978	-0.370965199472978	-0.312368982065185	-0.228346508308014	-0.370965199472978	3.44389150903422	1.50421736009877	Endosperm
zma-MIR2275_N2	3.43386462594758	-0.308379734727261	0.263432621972842	-0.308379734727261	-0.308379734727261	-0.308379734727261	-0.305120165920554	-0.308379734727261	-0.308379734727261	-0.308379734727261	-0.308379734727261	-0.308379734727261	-0.308379734727261	-0.308379734727261	3.43386462594758	0.572873305329466	Anther
zma-MIR_N17c	-0.271414938246163	-0.271414938246163	-0.271414938246163	-0.271414938246163	-0.271414938246163	-0.271414938246163	3.47412901100401	-0.271414938246163	-0.271414938246163	-0.271414938246163	-0.271414938246163	-0.224877051239632	-0.263687639056581	-0.271414938246163	3.47412901100401	0.116427293232929	Pollen
zma-MIR_N77a	-0.296392263864993	-0.346161797183546	-0.305526401049433	-0.370832061047387	-0.370832061047387	-0.217838445945895	-0.329029050422608	-0.19321648795283	3.37510480955588	-0.370832061047387	-0.370832061047387	0.538052003147741	-0.370832061047387	-0.370832061047387	3.37510480955588	1.42778686031893	Seed
zma-MIR_N83a	-0.405276278739525	-0.405276278739525	-0.405276278739525	-0.405276278739525	-0.405276278739525	3.12904614130147	-0.405276278739525	1.1740166608776	-0.405276278739525	-0.405276278739525	-0.405276278739525	-0.405276278739525	0.1549762639557	-0.405276278739525	3.12904614130147	1.26876610449768	Leaf
zma-MIR_N14a	3.25861124208517	-0.103841046812365	0.9070832093942	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.342955812137461	-0.378013583360763	-0.399592363309319	-0.167433850825858	-0.376303615177689	3.25861124208517	1.48054716093157	Anther
zma-MIR_N14b	3.25861124208517	-0.103841046812365	0.9070832093942	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.342955812137461	-0.378013583360763	-0.399592363309319	-0.167433850825858	-0.376303615177689	3.25861124208517	1.48054716093157	Anther
zma-MIR_N14c	3.25861124208517	-0.103841046812365	0.9070832093942	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.399592363309319	-0.342955812137461	-0.378013583360763	-0.399592363309319	-0.167433850825858	-0.376303615177689	3.25861124208517	1.48054716093157	Anther
zma-MIR_N23b	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-1.44269502490755e-08	Pollen
zma-MIR_N23a	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-1.44269502490755e-08	Pollen
zma-MIR_N124a	-0.0059699024999087	-0.31096530423766	-0.31096530423766	-0.19665793383104	3.46012124623663	-0.147840367529081	-0.31096530423766	-0.31096530423766	-0.31096530423766	-0.31096530423766	-0.31096530423766	-0.31096530423766	-0.31096530423766	-0.31096530423766	3.46012124623663	0.763585865988433	Endosperm
zma-MIR_N129a	-0.209929210112672	-0.332000851278223	-0.183498532823472	-0.128564403841565	3.46167882703603	-0.157255047436823	-0.332000851278223	-0.332000851278223	-0.332000851278223	-0.332000851278223	-0.332000851278223	-0.332000851278223	-0.332000851278223	-0.126424822595711	3.46167882703603	1.1102892060676	Endosperm
zma-MIR_N205a	3.47230196782972	-0.2797961232565	-0.151765480744414	-0.2797961232565	-0.2797961232565	-0.2797961232565	-0.2797961232565	-0.2797961232565	-0.2797961232565	-0.242779131263812	-0.2797961232565	-0.2797961232565	-0.2797961232565	-0.2797961232565	3.47230196782972	0.284350854047038	Anther
zma-MIR_N208a	3.18354363169111	-0.456916915618954	1.0113667503083	-0.456916915618954	0.0884325599725524	-0.0620332258144632	-0.456916915618954	-0.456916915618954	-0.456916915618954	-0.273747208015675	-0.456916915618954	-0.456916915618954	-0.456916915618954	-0.292227183190187	3.18354363169111	1.7837282992977	Anther
zma-MIR_N159a	0.0216590125611786	-0.400586547473151	-0.24833475310251	-0.284374055174999	3.42045656872777	-0.348073621870576	0.216311448246342	-0.400586547473151	-0.400586547473151	-0.400586547473151	-0.329237806393281	-0.277690439395648	-0.30169142399824	-0.266678739707427	3.42045656872777	1.65324634786833	Endosperm
zma-MIR_N180a	-0.289034880485015	-0.289034880485015	-0.289034880485015	-0.237001426970265	3.46731647480031	-0.289034880485015	-0.289034880485015	-0.289034880485015	-0.0509313624948796	-0.289034880485015	-0.289034880485015	-0.289034880485015	-0.289034880485015	-0.289034880485015	3.46731647480031	0.420897955246401	Endosperm
zma-MIR_N174a	-0.274540404241041	-0.313527992895794	-0.188440528356482	-0.180564724056265	3.46002718428193	0.00527040843400601	-0.313527992895794	-0.313527992895794	-0.313527992895794	-0.313527992895794	-0.313527992895794	-0.313527992895794	-0.313527992895794	-0.313527992895794	3.46002718428193	0.821906773603086	Endosperm
zma-MIR_N176a	-0.268099370948824	-0.268099370948824	-0.268099370948824	-0.268099370948824	3.47438146158358	-0.2571890101977	-0.268099370948824	-0.268099370948824	-0.268099370948824	-0.268099370948824	-0.268099370948824	-0.268099370948824	-0.268099370948824	-0.268099370948824	3.47438146158358	0.0286812247787664	Endosperm
zma-MIR_N178a	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-1.44269502490755e-08	Endosperm
zma-MIR169q	-0.25868442543625	-0.280327430437475	-0.262605918588531	-0.261386820065729	-0.280327430437475	3.47398873569736	-0.280327430437475	-0.276250520153893	-0.280327430437475	-0.227265808033616	-0.247957007005566	-0.27073983823569	-0.267461245990707	-0.280327430437475	3.47398873569736	0.367547663069502	Leaf
zma-MIR171b	-0.301807193795875	-0.24992424510535	-0.295960155058945	-0.193634521497955	3.47006354575025	-0.294648655206488	-0.289257215055546	-0.304407910613374	-0.285688457637846	-0.305046797872706	-0.302929528629883	-0.1798761241219	-0.1660326023827	-0.300850138771684	3.47006354575025	0.76191955092498	Endosperm
zma-MIR171b1	-0.301807193795875	-0.24992424510535	-0.295960155058945	-0.193634521497955	3.47006354575025	-0.294648655206488	-0.289257215055546	-0.304407910613374	-0.285688457637846	-0.305046797872706	-0.302929528629883	-0.1798761241219	-0.1660326023827	-0.300850138771684	3.47006354575025	0.76191955092498	Endosperm
zma-MIR171j	-0.301568741087503	-0.2502207189619	-0.295781986826021	-0.192976910784806	3.47012235077261	-0.294493497796547	-0.289148155860589	-0.304142643844725	-0.285616193251099	-0.30477494401185	-0.302679504360283	-0.180953418491698	-0.167144081948464	-0.300621553547128	3.47012235077261	0.758058605921801	Endosperm
zma-MIR399i	-0.351738941015525	-0.321081216321006	-0.370447396098056	-0.371126313325284	-0.377043968226393	3.3191819699531	-0.377043968226393	-0.366524290505697	-0.377043968226393	0.750436333834222	-0.370632376780944	-0.21255376203776	-0.217314240943796	-0.35706786208008	3.3191819699531	1.31005948324492	Leaf
zma-MIR399_N1	-0.379886006978403	-0.379886006978403	-0.379886006978403	-0.379886006978403	-0.379886006978403	3.02438326546477	-0.317073019066302	-0.379886006978403	-0.379886006978403	1.47143583036397	-0.379886006978403	-0.379886006978403	-0.379886006978403	-0.379886006978403	3.02438326546477	1.01758247484535	Leaf
zma-MIR399_N2	-0.379886006978403	-0.379886006978403	-0.379886006978403	-0.379886006978403	-0.379886006978403	3.02438326546477	-0.317073019066302	-0.379886006978403	-0.379886006978403	1.47143583036397	-0.379886006978403	-0.379886006978403	-0.379886006978403	-0.379886006978403	3.02438326546477	1.01758247484535	Leaf
